Date,Open,High,Low,Close,Volume
18-Mar-02,62.74,62.99,61.20,62.14,26148400
15-Mar-02,61.00,62.51,60.97,62.49,34543400
14-Mar-02,62.14,62.24,61.05,61.22,25909800
13-Mar-02,62.08,63.02,61.95,62.10,22193700
12-Mar-02,62.52,62.80,61.67,62.54,33203600
11-Mar-02,63.51,65.00,63.00,64.34,21859100
8-Mar-02,63.63,64.70,63.17,63.95,28850900
7-Mar-02,63.67,63.88,61.86,62.72,29039600
6-Mar-02,62.91,63.70,62.19,63.63,24917700
5-Mar-02,63.00,63.88,62.34,63.08,27963200
4-Mar-02,61.24,63.50,60.87,63.30,37232100
1-Mar-02,59.05,61.42,58.85,61.37,31057800
28-Feb-02,58.78,59.70,58.14,58.34,34034000
27-Feb-02,59.07,60.15,57.99,58.39,32875000
26-Feb-02,59.10,60.00,57.90,58.55,31638100
25-Feb-02,57.94,59.89,57.89,59.08,25916100
22-Feb-02,58.05,58.75,57.15,57.99,35673900
21-Feb-02,59.72,60.27,58.01,58.05,29699200
20-Feb-02,59.40,60.36,58.80,59.90,25246000
19-Feb-02,59.91,60.14,58.60,58.93,26131300
15-Feb-02,61.70,62.06,60.20,60.23,25089900
14-Feb-02,62.00,62.99,61.32,61.68,28633500
13-Feb-02,60.26,61.88,59.95,61.82,27084300
12-Feb-02,60.49,60.85,60.02,60.14,22486900
11-Feb-02,60.01,61.24,59.59,61.13,25449800
8-Feb-02,60.12,60.66,58.83,60.65,30641500
7-Feb-02,60.30,61.61,59.75,59.80,31657000
6-Feb-02,61.61,61.89,60.25,60.40,33051500
5-Feb-02,60.80,62.23,60.50,61.15,33386300
4-Feb-02,62.40,62.69,60.75,61.12,35154200
1-Feb-02,64.15,64.50,62.47,62.66,31731100
30-Jan-02,62.45,62.90,61.33,62.85,33050000
29-Jan-02,63.90,64.50,61.99,62.32,29333000
28-Jan-02,64.23,64.40,62.91,63.82,20811000
25-Jan-02,64.19,64.85,63.51,63.80,24490600
24-Jan-02,64.10,65.18,63.80,64.60,41943000
23-Jan-02,64.05,64.71,63.24,63.74,40201500
22-Jan-02,66.61,66.63,64.25,64.46,38418600
18-Jan-02,67.10,67.85,65.42,66.10,53570200
17-Jan-02,68.53,70.00,68.40,69.86,39479000
16-Jan-02,68.85,69.84,67.85,67.87,30977700
15-Jan-02,68.66,69.62,68.50,69.55,30358700
14-Jan-02,68.30,69.04,67.74,68.47,25498900
11-Jan-02,69.52,70.32,68.10,68.61,36496600
10-Jan-02,68.48,69.80,68.13,69.28,25148300
9-Jan-02,69.72,70.62,68.55,68.71,38152000
8-Jan-02,68.69,69.86,68.00,69.38,23868200
7-Jan-02,69.75,70.02,68.35,68.56,29254400
4-Jan-02,69.25,69.91,68.67,68.90,26365700
3-Jan-02,67.11,69.25,67.09,69.23,33795400
2-Jan-02,66.65,67.11,65.51,67.04,24062000
31-Dec-01,67.84,68.48,66.25,66.25,21503100
28-Dec-01,68.23,68.85,67.70,67.87,14393600
27-Dec-01,67.98,68.71,67.26,67.85,16203300
26-Dec-01,67.42,69.07,67.39,67.68,14664000
24-Dec-01,67.72,68.03,67.20,67.27,5850800
21-Dec-01,68.01,68.02,67.00,67.54,42153800
20-Dec-01,69.15,69.25,66.62,66.76,39292500
19-Dec-01,68.62,69.89,68.45,69.49,28498100
18-Dec-01,68.92,69.40,68.60,69.27,23627600
17-Dec-01,67.17,69.11,67.16,68.98,28539900
