Date,Open,High,Low,Close,Volume
15-Mar-02,38.00,39.33,37.58,39.18,6734100
14-Mar-02,37.36,37.93,36.41,36.59,3591400
13-Mar-02,37.82,39.00,37.31,37.53,2847100
12-Mar-02,38.90,39.15,37.45,38.12,4825700
11-Mar-02,39.31,40.75,38.95,40.34,3887200
8-Mar-02,39.55,40.99,38.72,39.05,4050700
7-Mar-02,40.33,40.50,38.59,38.80,4231900
6-Mar-02,39.46,40.34,38.82,40.34,3491800
5-Mar-02,40.75,40.75,39.15,39.98,3337300
4-Mar-02,38.55,41.00,38.25,40.96,5652800
1-Mar-02,36.85,38.55,36.69,38.54,2923900
28-Feb-02,37.10,37.44,36.36,36.38,2721800
27-Feb-02,37.23,38.43,36.64,37.29,4030300
26-Feb-02,36.46,37.31,35.51,37.03,2824100
25-Feb-02,35.15,36.50,35.09,36.29,2848200
22-Feb-02,34.02,35.80,33.56,35.13,3775300
21-Feb-02,34.85,35.45,33.88,33.88,2486300
20-Feb-02,35.03,35.41,33.88,34.94,3283700
19-Feb-02,35.56,36.40,34.13,34.56,3699100
15-Feb-02,36.93,37.20,35.63,35.69,3359600
14-Feb-02,37.48,37.75,36.50,37.01,2911200
13-Feb-02,36.25,37.60,36.15,37.46,3212800
12-Feb-02,35.98,36.90,35.58,36.25,2140000
11-Feb-02,35.61,36.60,35.07,36.50,2786400
8-Feb-02,34.05,35.83,34.00,35.80,2110300
7-Feb-02,34.00,34.94,33.02,33.80,3434300
6-Feb-02,35.11,35.35,33.66,33.94,2644400
5-Feb-02,34.67,36.10,34.59,34.71,3584400
4-Feb-02,35.90,36.27,34.44,34.89,2983200
1-Feb-02,35.10,37.30,35.00,35.93,7032300
30-Jan-02,35.18,35.30,33.24,34.13,4047100
29-Jan-02,35.95,36.33,34.60,35.15,4553500
28-Jan-02,34.73,35.39,34.55,35.17,3748800
25-Jan-02,35.49,35.55,33.90,34.09,3472900
24-Jan-02,35.00,36.15,34.82,35.84,2859400
23-Jan-02,34.20,35.16,33.86,34.68,2436400
22-Jan-02,34.77,34.80,33.70,34.04,2966000
18-Jan-02,34.95,35.56,34.21,34.58,3091800
17-Jan-02,35.46,36.30,35.40,35.95,3753000
16-Jan-02,35.79,36.27,35.05,35.10,3784200
15-Jan-02,35.50,36.90,35.50,36.27,3805000
14-Jan-02,35.73,36.10,34.90,35.60,3029500
11-Jan-02,36.46,37.19,35.50,36.03,3306600
10-Jan-02,37.55,37.95,36.09,36.45,3968200
9-Jan-02,37.16,39.20,36.82,37.63,5605500
8-Jan-02,36.18,37.13,35.44,36.64,2833400
7-Jan-02,36.75,37.25,35.78,36.16,3802000
4-Jan-02,36.11,36.94,35.12,35.90,8278900
3-Jan-02,31.82,33.55,31.00,33.08,3383300
2-Jan-02,31.14,32.00,30.19,31.84,3160300
31-Dec-01,32.25,32.29,31.04,31.05,1884600
28-Dec-01,32.08,32.82,31.95,32.24,2003500
27-Dec-01,30.74,31.88,30.74,31.82,1793800
26-Dec-01,31.31,31.94,30.63,30.66,1584300
24-Dec-01,31.29,31.63,30.75,30.96,767000
21-Dec-01,30.59,31.98,30.29,31.44,2728300
20-Dec-01,32.56,32.74,30.54,30.66,2585100
19-Dec-01,32.38,33.22,31.64,32.61,3499800
18-Dec-01,31.64,33.15,31.59,32.99,3803500
17-Dec-01,31.75,32.33,30.91,31.53,4456200
14-Dec-01,30.40,32.97,30.39,31.82,9808500
