Date,Open,High,Low,Close,Volume
18-Mar-02,3.67,3.89,3.62,3.80,1527600
15-Mar-02,3.49,3.69,3.49,3.65,635200
14-Mar-02,3.62,3.65,3.45,3.48,546200
13-Mar-02,3.70,3.80,3.47,3.66,1309700
12-Mar-02,3.47,3.82,3.40,3.77,1703800
11-Mar-02,3.21,3.77,3.20,3.48,2302900
8-Mar-02,3.27,3.37,3.18,3.24,930200
7-Mar-02,3.29,3.42,3.19,3.22,1025000
6-Mar-02,3.15,3.54,3.09,3.29,1793100
5-Mar-02,3.10,3.31,3.09,3.29,659100
4-Mar-02,2.89,3.30,2.85,3.16,1108500
1-Mar-02,3.10,3.11,2.66,2.85,1245800
28-Feb-02,3.34,3.35,3.00,3.06,832400
27-Feb-02,3.24,3.48,3.24,3.32,667100
26-Feb-02,3.30,3.46,3.25,3.28,475700
25-Feb-02,3.32,3.35,3.15,3.27,576100
22-Feb-02,3.12,3.28,3.01,3.28,850200
21-Feb-02,3.40,3.43,3.04,3.09,744500
20-Feb-02,3.48,3.55,3.35,3.44,595400
19-Feb-02,3.55,3.55,3.40,3.43,498500
15-Feb-02,3.77,3.88,3.50,3.53,1107000
14-Feb-02,3.66,3.91,3.56,3.80,3018300
13-Feb-02,3.47,3.69,3.32,3.65,608400
12-Feb-02,3.29,3.50,3.24,3.49,634400
11-Feb-02,3.35,3.50,3.31,3.37,622000
8-Feb-02,3.37,3.67,3.25,3.26,1400100
7-Feb-02,3.63,3.67,3.25,3.30,542800
6-Feb-02,3.55,3.85,3.50,3.59,3540300
5-Feb-02,3.45,3.70,3.39,3.42,1320700
4-Feb-02,3.64,3.70,3.34,3.57,1122000
1-Feb-02,3.10,3.64,3.08,3.63,1897800
30-Jan-02,3.58,3.65,3.15,3.32,1475400
29-Jan-02,3.76,3.85,3.35,3.60,2323600
28-Jan-02,3.82,3.94,3.50,3.68,5873100
25-Jan-02,2.65,3.65,2.60,3.47,5278800
24-Jan-02,2.53,2.75,2.50,2.65,2177300
23-Jan-02,2.40,2.50,2.36,2.40,357800
22-Jan-02,2.69,2.70,2.30,2.38,919600
18-Jan-02,2.23,2.84,2.15,2.54,4478800
17-Jan-02,2.39,2.49,2.15,2.19,1138200
16-Jan-02,2.45,2.45,2.32,2.35,691400
15-Jan-02,2.49,2.55,2.46,2.49,838000
14-Jan-02,2.55,2.57,2.42,2.48,634100
11-Jan-02,2.39,2.63,2.33,2.58,1817200
10-Jan-02,2.41,2.41,2.25,2.27,557000
9-Jan-02,2.47,2.50,2.30,2.33,735600
8-Jan-02,2.40,2.48,2.33,2.45,816200
7-Jan-02,2.49,2.55,2.41,2.45,936800
4-Jan-02,2.57,2.59,2.35,2.49,1179800
3-Jan-02,2.43,2.68,2.42,2.60,1897200
2-Jan-02,2.35,2.45,2.33,2.40,588200
31-Dec-01,2.21,2.35,2.20,2.29,1083900
28-Dec-01,2.20,2.37,2.05,2.22,1369200
27-Dec-01,1.84,2.23,1.82,2.20,1098900
26-Dec-01,1.78,1.85,1.72,1.85,864400
24-Dec-01,1.80,1.84,1.78,1.78,491500
21-Dec-01,1.90,1.95,1.77,1.85,621300
20-Dec-01,1.89,1.90,1.80,1.86,590300
19-Dec-01,1.92,1.93,1.85,1.85,616600
18-Dec-01,1.92,2.00,1.80,1.92,1277600
17-Dec-01,1.79,1.83,1.75,1.79,903000
