recordID, asset-path, category, status, description, date-last-mod, time-last-mod
1000643, "img-layout-a-1-master-spread.pdf", layout, provisional, "Master", "2005-3-7", "12:29:27"
1000383, "cls-layout-conceptual.pdf", layout, provisional, "Conceptual Design", "2005-3-7", "12:29:27"
1000279, "cls-layout-document-list.pdf", layout, final, "Document List", "2005-3-7", "12:29:27"
1000869, "cls-layout-frame-interfaces.pdf", layout, provisional, "Frame Interfaces", "2005-3-7", "12:31:27"
1000604, "cls-layout-hierarchy.pdf", layout, provisional, "Hierarchy", "2005-3-7", "12:29:27"
1000401, "cls-layout-parent-child.pdf", layout, provisional, "Parent-Child", "2005-3-7", "12:29:27"
1000089, "cls-layout-widget.pdf", layout, provisional, "Layout Widget", "2005-3-7", "12:29:27"
1000358, "cls-layout-window.pdf", layout, provisional, "Layout Window", "2005-3-7", "12:29:27"
1000618, "strokeandfill.jpg", graphics, final, "Stroke-Fill", "2005-3-7", "12:29:27"
1000834, "preflight.jpg", graphics, final,"Preflight", "2005-4-7", "12:29:27"
